Date,Open,High,Low,Close,Volume,OpenInt
12/23/2005,42.233,42.743,42.233,42.448,217075,0
12/27/2005,42.477,42.882,41.74,41.77,357937,0
12/28/2005,41.877,42.556,41.79,42.095,293399,0
12/29/2005,41.82,42.105,41.317,41.927,624201,0
12/30/2005,41.867,42.793,41.572,42.763,765768,0
1/3/2006,42.773,43.149,42.605,42.822,1639666,0
1/4/2006,43.199,43.993,42.951,43.129,911400,0
1/5/2006,43.139,43.484,43.05,43.337,959980,0
1/6/2006,43.347,43.435,43.06,43.288,1095754,0
1/9/2006,43.199,44.023,43.199,43.845,619625,0
1/10/2006,43.795,44.071,43.658,43.894,401228,0
1/11/2006,43.589,43.874,43.149,43.522,718612,0
1/12/2006,43.599,43.874,43.522,43.648,929390,0
1/13/2006,43.589,44.062,43.58,43.658,840161,0
1/17/2006,43.658,43.757,42.448,42.812,1139150,0
1/18/2006,42.507,42.862,42.213,42.457,1357650,0
1/19/2006,42.526,42.644,41.198,41.505,1608875,0
1/20/2006,41.505,42.095,41.08,41.248,748489,0
1/23/2006,41.129,41.77,40.905,40.954,810892,0
1/24/2006,41.109,42.164,41.109,42.125,689751,0
1/25/2006,42.272,42.803,42.045,42.135,609364,0
1/26/2006,42.233,42.832,42.065,42.822,503771,0
1/27/2006,42.872,43.268,42.252,42.322,509362,0
1/30/2006,42.302,42.644,42.125,42.223,856214,0
1/31/2006,42.115,43.001,42.105,42.872,794733,0
2/1/2006,42.803,42.902,42.585,42.704,652045,0
2/2/2006,42.507,42.704,41.602,41.682,640460,0
2/3/2006,41.721,42.852,41.632,42.684,632839,0
2/6/2006,42.743,42.763,42.115,42.39,406922,0
2/7/2006,43.139,43.139,42.055,42.262,569625,0
2/8/2006,42.556,42.951,42.292,42.448,517795,0
2/9/2006,42.487,43.149,42.38,42.812,667596,0
2/10/2006,42.832,43.258,42.714,43.03,1043214,0
2/13/2006,43.159,43.785,43.11,43.619,821563,0
2/14/2006,43.619,43.845,43.475,43.785,1176550,0
2/15/2006,43.737,43.747,42.892,43.208,1597899,0
2/16/2006,42.312,42.526,40.954,41.07,3193868,0
2/17/2006,44.771,44.771,40.866,41.031,1376247,0
2/21/2006,41.08,41.179,39.772,39.802,1621377,0
2/22/2006,39.753,40.817,39.605,40.57,1816911,0
2/23/2006,40.441,41.288,40.156,40.669,1202158,0
2/24/2006,40.461,40.876,40.186,40.876,808756,0
2/27/2006,40.837,41.268,40.748,40.974,844430,0
2/28/2006,40.895,40.984,40.274,40.689,1378889,0
3/1/2006,40.689,41.897,40.5,41.839,1080816,0
3/2/2006,42.822,43.357,41.917,41.937,1739569,0
3/3/2006,41.74,42.203,41.662,41.731,1172686,0
3/6/2006,41.78,41.8,41.129,41.731,1082644,0
3/7/2006,41.731,42.016,41.426,41.76,994533,0
3/8/2006,41.76,42.016,41.426,41.77,754997,0
3/9/2006,41.77,41.77,40.934,41.198,2138866,0
3/10/2006,41.228,41.258,40.431,40.491,1599219,0
3/13/2006,40.451,41.139,40.206,40.53,1439052,0
3/14/2006,40.51,40.778,40.196,40.55,942398,0
3/15/2006,40.699,41.317,40.56,41.228,1032946,0
3/16/2006,41.268,41.8,40.886,41.012,531413,0
3/17/2006,40.738,41.189,40.294,40.876,880201,0
3/20/2006,40.708,40.846,40.244,40.619,701335,0
3/21/2006,40.53,40.964,40.382,40.54,547575,0
3/22/2006,40.392,41.003,40.362,40.876,611803,0
3/23/2006,40.876,41.307,40.866,41.169,511899,0
3/24/2006,41.169,41.475,41.129,41.327,641171,0
3/27/2006,41.278,41.297,40.807,41.061,562209,0
3/28/2006,41.129,41.129,40.55,40.619,557534,0
3/29/2006,40.728,40.905,40.639,40.708,562612,0
3/30/2006,40.817,41.051,40.609,40.876,947785,0
3/31/2006,40.876,41.248,40.846,40.974,460580,0
4/3/2006,40.837,41.109,40.679,40.905,969634,0
4/4/2006,40.807,40.837,40.284,40.294,1085391,0
4/5/2006,40.304,40.817,40.226,40.58,1415174,0
4/6/2006,40.481,40.57,40.235,40.431,732533,0
4/7/2006,40.51,40.993,40.176,40.362,584972,0
4/10/2006,40.294,40.649,39.93,39.94,555500,0
4/11/2006,39.802,39.812,37.994,38.778,3162158,0
4/12/2006,38.778,39.262,38.728,39.182,1091080,0
4/13/2006,39.064,39.398,39.064,39.192,484665,0
4/17/2006,39.133,39.202,38.375,38.748,568508,0
4/18/2006,38.698,38.797,37.736,38.306,2025653,0
4/19/2006,38.258,38.424,38.053,38.306,1233665,0
4/20/2006,38.151,39.242,38.131,38.867,2232159,0
4/21/2006,38.916,38.995,38.102,38.297,994023,0
4/24/2006,38.229,38.229,37.203,37.637,1578794,0
4/25/2006,37.746,38.65,37.726,38.404,1846785,0
4/26/2006,38.278,38.278,37.796,38.023,1359278,0
4/27/2006,38.033,39.31,37.816,39.242,2267731,0
4/28/2006,39.034,39.753,38.965,39.575,1390681,0
5/1/2006,39.466,39.615,38.66,38.807,1362529,0
5/2/2006,38.817,39.083,37.835,37.984,1243014,0
5/3/2006,37.885,38.434,37.687,37.786,1219944,0
5/4/2006,37.717,38.424,37.717,38.201,1224113,0
5/5/2006,38.365,39.133,38.316,39.024,1048192,0
5/8/2006,38.62,39.792,38.62,39.182,1201042,0
5/9/2006,41.031,41.622,39.881,40.038,2377284,0
5/10/2006,40.038,40.392,39.673,39.93,1281122,0
5/11/2006,39.851,40.314,39.713,39.723,791886,0
5/12/2006,39.733,39.95,39.605,39.635,1133864,0
5/15/2006,39.447,39.536,38.778,38.817,1415476,0
5/16/2006,38.778,39.005,38.003,38.053,1124821,0
5/17/2006,37.726,38.053,37.54,37.589,1240676,0
5/18/2006,36.799,38.345,36.397,37.687,5321654,0
5/19/2006,38.444,39.31,38.181,38.424,1599931,0
5/22/2006,38.306,38.365,37.579,37.736,1468018,0
5/23/2006,38.082,38.63,37.441,37.441,1178073,0
5/24/2006,37.371,37.974,36.997,37.559,1164963,0
5/25/2006,37.766,37.895,37.342,37.411,663224,0
5/26/2006,37.53,37.589,37.292,37.401,391065,0
5/30/2006,37.391,37.579,36.741,36.829,506719,0
5/31/2006,36.977,37.637,36.977,37.51,1020343,0
6/1/2006,37.51,37.786,37.183,37.381,1303687,0
6/2/2006,37.391,37.53,36.868,37.391,884672,0
6/5/2006,37.262,37.441,36.77,36.819,694427,0
6/6/2006,36.741,37.075,36.111,36.692,927357,0
6/7/2006,36.672,37.371,36.486,36.593,974714,0
6/8/2006,36.477,37.51,36.092,37.292,1073395,0
6/9/2006,37.203,37.401,36.918,37.223,595033,0
6/12/2006,37.203,37.213,36.368,36.397,783348,0
6/13/2006,36.308,36.702,35.887,35.946,931219,0
6/14/2006,35.906,36.447,35.592,35.897,570339,0
6/15/2006,36.101,37.046,36.101,37.017,751336,0
6/16/2006,37.262,37.579,36.799,36.957,570741,0
6/19/2006,36.957,37.144,36.328,36.662,814447,0
6/20/2006,36.751,37.173,36.229,36.397,832539,0
6/21/2006,36.358,37.007,36.161,36.809,381001,0
6/22/2006,36.731,36.938,36.239,36.477,383850,0
6/23/2006,36.328,37.262,36.298,37.037,448180,0
6/26/2006,37.017,37.51,36.515,36.692,671762,0
6/27/2006,36.741,36.751,36.005,36.073,425623,0
6/28/2006,36.083,36.151,35.227,35.327,952053,0
6/29/2006,28.8,29.787,28.436,29.431,14235764,0
6/30/2006,29.047,29.391,27.942,28.436,6540581,0
7/3/2006,28.682,29.037,28.505,28.997,2249846,0
7/5/2006,29.057,29.361,28.682,29.027,2045775,0
7/6/2006,29.027,29.53,28.978,29.48,2501374,0
7/7/2006,29.559,29.688,29.037,29.223,1622697,0
7/10/2006,29.322,29.52,28.8,29.057,1086507,0
7/11/2006,29.027,29.096,28.682,28.82,1615072,0
7/12/2006,28.78,28.889,28.436,28.535,1192810,0
7/13/2006,28.426,28.662,28.06,28.387,1234783,0
7/14/2006,28.387,28.691,28.169,28.575,1722497,0
7/17/2006,28.456,28.78,28.278,28.496,1379703,0
7/18/2006,28.456,28.584,28.208,28.238,1998823,0
7/19/2006,28.238,28.929,28.149,28.889,1799022,0
7/20/2006,28.83,28.929,28.555,28.761,1895365,0
